Education Type,Number of Schools,Students,Teachers,Administrators,Students per School,Students per Teacher,Students per Administrator
Government,4003,1209480,104550,12684,302.1433924556583,11.568436154949785,95.35477767265847
Private,813,182580,11715,831,224.57564575645756,15.585147247119078,219.71119133574007
International,540,59843,4065,660,110.82037037037037,14.721525215252152,90.67121212121212
