Indicator,Paired regions (n),Public mean,Public median,Fee-paying mean,Fee-paying median,Mean paired difference (Public - Fee-paying),95% CI lower,95% CI upper,Paired t,Paired t p-value,Wilcoxon W,Wilcoxon p-value,Cohen dz,Shapiro-Wilk p (paired differences),Regions Public > Fee-paying,Regions Public < Fee-paying
Students per School,13,272.4129818901882,279.030303030303,163.14167039730648,161.94660194174756,109.27131149288168,67.52944879897248,151.01317418679088,5.7036682129184095,9.855968827598781e-05,2.0,0.000732421875,1.581912938454722,0.5422641069997736,12,1
Students per Teacher,13,11.360278462626102,11.609833971902937,16.04007993119579,15.64945652173913,-4.679801468569688,-6.147238069522057,-3.2123648676173198,-6.948451110867541,1.541995570846709e-05,0.0,0.000244140625,-1.9271535973298182,0.2818784048086067,0,13
Students per Administrator,12,120.09138369968564,98.73927237845871,320.3634294745197,340.6380952380953,-200.27204577483406,-282.3780239137115,-118.16606763595662,-5.368620053292867,0.0002272616333578765,1.0,0.0009765625,-1.54978711647273,0.8683890747275227,1,11
