Funding Group,Number of Schools,School share (%),Students,Student share (%),Boys,Boys within group (%),Girls,Girls within group (%),Teachers,Teacher share (%),Administrators,Administrator share (%),Students per School,Students per Teacher,Students per Administrator
Publicly funded (Government),4003,74.73861090365945,1209480,83.30308567445621,582926,48.19641498825942,626554,51.80358501174058,104550,86.8860633258539,12684,89.48148148148148,302.1433924556583,11.568436154949785,95.35477767265847
Fee-paying (Private + International),1353,25.261389096340555,242423,16.696914325543784,157036,64.77768198562018,85387,35.22231801437982,15780,13.113936674146098,1491,10.518518518518519,179.17442719881745,15.362674271229404,162.5908786049631
